Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2021-06-03,Russia,United States,3,1,25,25,17,25,-,22,19,25,19,-,20,18,2,0,-,18,2,9,29,2,4,2,8,0,5,20,25,5,0,11,16,9,3,14,10,0,18,28
2021-06-03,United States,Russia,1,3,22,19,25,19,-,25,25,17,25,-,14,13,0,1,-,13,5,7,25,0,5,2,7,1,5,17,23,3,1,14,18,10,5,16,8,0,14,22
2021-06-03,United States,Russia,1,3,22,19,25,19,-,25,25,17,25,-,14,13,1,0,-,13,5,11,29,1,7,5,13,0,2,17,19,6,0,15,21,9,4,14,8,0,20,28
2021-06-03,United States,Russia,1,3,22,19,25,19,-,25,25,17,25,-,19,14,3,2,-,14,2,7,23,3,3,5,11,2,7,16,25,4,1,10,15,8,3,13,7,0,16,23
2021-06-03,United States,Russia,1,3,22,19,25,19,-,25,25,17,25,-,13,12,1,0,-,12,4,8,24,1,2,2,5,0,3,16,19,6,0,14,20,7,8,19,12,0,13,25
2021-06-04,Argentina,Slovenia,0,3,19,22,18,-,-,25,25,25,-,-,13,11,2,0,-,11,6,13,30,2,8,8,18,0,2,17,19,5,3,12,20,13,3,18,12,0,17,29
2021-06-04,Argentina,Slovenia,0,3,19,22,18,-,-,25,25,25,-,-,13,10,3,0,-,10,3,15,28,3,2,4,9,0,4,19,23,3,0,14,17,12,6,23,6,0,22,28
2021-06-04,Argentina,Slovenia,0,3,19,22,18,-,-,25,25,25,-,-,13,11,2,0,-,11,6,12,29,2,3,5,10,0,5,13,18,4,1,16,21,9,3,16,8,1,21,30
2021-06-04,Slovenia,Argentina,3,0,25,25,25,-,-,19,22,18,-,-,19,14,2,3,-,14,2,14,30,2,7,10,19,3,5,17,25,1,0,16,17,13,1,16,9,0,21,30
2021-06-04,Slovenia,Argentina,3,0,25,25,25,-,-,19,22,18,-,-,17,16,1,0,-,16,5,10,31,1,3,8,12,0,7,17,24,8,0,11,19,13,3,16,15,0,17,32
2021-06-04,Slovenia,Argentina,3,0,25,25,25,-,-,19,22,18,-,-,14,11,2,1,-,11,2,11,24,2,5,7,14,1,4,20,25,1,0,12,13,14,3,19,11,1,13,25
2021-06-04,Germany,Netherlands,2,3,18,25,20,25,13,25,23,25,23,15,12,10,0,2,-,10,2,8,20,0,3,1,4,2,4,12,18,11,1,9,21,2,5,8,3,0,15,18
2021-06-04,Germany,Netherlands,2,3,18,25,20,25,13,25,23,25,23,15,16,12,4,0,-,12,1,11,24,4,5,10,19,0,7,18,25,6,2,9,17,8,2,11,1,0,23,24
2021-06-04,Germany,Netherlands,2,3,18,25,20,25,13,25,23,25,23,15,12,10,1,1,-,10,4,7,21,1,5,1,7,1,3,16,20,8,4,7,19,6,3,11,2,0,19,21
2021-06-04,Germany,Netherlands,2,3,18,25,20,25,13,25,23,25,23,15,16,14,1,1,-,14,4,8,26,1,7,2,10,1,2,22,25,10,2,7,19,10,4,17,2,1,25,28
2021-06-04,Germany,Netherlands,2,3,18,25,20,25,13,25,23,25,23,15,10,9,0,1,-,9,3,6,18,0,2,3,5,1,3,10,14,3,0,9,12,8,2,10,3,1,15,19
2021-06-04,Netherlands,Germany,3,2,25,23,25,23,15,18,25,20,25,13,20,18,1,1,-,18,2,4,24,1,6,4,11,1,4,20,25,8,2,4,14,11,2,13,11,0,14,25
2021-06-04,Netherlands,Germany,3,2,25,23,25,23,15,18,25,20,25,13,15,12,1,2,-,12,6,13,31,1,5,5,11,2,6,15,23,8,0,10,18,16,2,18,6,0,25,31
2021-06-04,Netherlands,Germany,3,2,25,23,25,23,15,18,25,20,25,13,19,14,1,4,-,14,2,7,23,1,5,3,9,4,6,15,25,8,1,8,17,8,1,10,4,1,19,24
2021-06-04,Netherlands,Germany,3,2,25,23,25,23,15,18,25,20,25,13,18,14,2,2,-,14,5,11,30,2,6,2,10,2,4,17,23,8,1,14,23,9,5,14,5,0,25,30
2021-06-04,Netherlands,Germany,3,2,25,23,25,23,15,18,25,20,25,13,10,8,2,0,-,8,1,7,16,2,5,4,11,0,2,12,14,3,1,7,11,6,1,7,2,0,14,16
2021-06-04,Brazil,Japan,3,0,25,25,25,-,-,20,16,20,-,-,22,19,1,2,-,19,5,6,30,1,4,10,15,2,2,20,24,7,0,11,18,13,5,18,11,0,17,28
2021-06-04,Brazil,Japan,3,0,25,25,25,-,-,20,16,20,-,-,19,14,1,4,-,14,3,4,21,1,1,5,7,4,3,18,25,3,0,10,13,8,1,10,8,0,13,21
2021-06-04,Brazil,Japan,3,0,25,25,25,-,-,20,16,20,-,-,17,15,1,1,-,15,4,13,32,1,8,5,14,1,4,19,24,3,2,11,16,19,2,24,12,0,20,32
2021-06-04,Japan,Brazil,0,3,20,16,20,-,-,25,25,25,-,-,13,13,0,0,-,13,1,12,26,0,5,2,7,0,3,18,21,6,2,14,22,8,4,14,8,0,18,26
2021-06-04,Japan,Brazil,0,3,20,16,20,-,-,25,25,25,-,-,11,9,2,0,-,9,4,9,22,2,5,2,9,0,3,13,16,5,4,13,22,6,2,9,8,0,14,22
2021-06-04,Japan,Brazil,0,3,20,16,20,-,-,25,25,25,-,-,15,9,4,2,-,9,4,13,26,4,1,8,13,2,5,14,21,3,1,16,20,8,6,15,8,0,16,24
2021-06-04,France,Serbia,2,3,25,26,22,23,9,22,24,25,25,15,13,9,3,1,-,9,0,10,19,3,6,1,10,1,6,17,24,7,0,7,14,6,4,14,2,1,17,20
2021-06-04,France,Serbia,2,3,25,26,22,23,9,22,24,25,25,15,16,11,1,4,-,11,5,2,18,1,5,3,9,4,4,18,26,9,1,7,17,1,5,7,5,0,13,18
2021-06-04,France,Serbia,2,3,25,26,22,23,9,22,24,25,25,15,19,16,0,3,-,16,7,10,33,0,6,2,8,3,4,15,22,9,1,13,23,10,5,16,5,0,27,32
2021-06-04,France,Serbia,2,3,25,26,22,23,9,22,24,25,25,15,18,17,1,0,-,17,3,11,31,1,9,1,11,0,6,18,24,7,1,13,21,11,3,17,7,0,24,31
2021-06-04,France,Serbia,2,3,25,26,22,23,9,22,24,25,25,15,6,5,0,1,-,5,5,6,16,0,2,2,4,1,1,8,10,3,0,10,13,4,3,7,0,0,17,17
2021-06-04,Serbia,France,3,2,22,24,25,25,15,25,26,22,23,9,14,14,0,0,-,14,5,7,26,0,6,8,14,0,9,14,23,8,1,9,18,9,0,9,7,0,20,27
2021-06-04,Serbia,France,3,2,22,24,25,25,15,25,26,22,23,9,16,13,2,1,-,13,3,4,20,2,6,1,9,1,7,16,24,9,4,9,22,6,3,9,6,1,15,22
2021-06-04,Serbia,France,3,2,22,24,25,25,15,25,26,22,23,9,18,13,4,1,-,13,1,6,20,4,11,7,22,1,2,22,25,6,3,9,18,7,1,8,5,0,15,20
2021-06-04,Serbia,France,3,2,22,24,25,25,15,25,26,22,23,9,15,13,1,1,-,13,3,7,23,1,4,7,12,1,3,20,24,9,0,9,18,4,4,9,5,0,17,22
2021-06-04,Serbia,France,3,2,22,24,25,25,15,25,26,22,23,9,13,9,4,0,-,9,2,5,16,4,4,2,10,0,1,13,14,5,1,3,9,7,1,8,2,0,13,15
2021-06-04,Iran,Italy,3,1,26,29,21,25,-,24,27,25,22,-,16,11,3,2,-,11,2,15,28,3,6,3,12,2,4,20,26,7,3,7,17,8,5,13,5,0,23,28
2021-06-04,Iran,Italy,3,1,26,29,21,25,-,24,27,25,22,-,21,14,5,2,-,14,4,20,38,5,5,1,11,2,6,20,28,5,1,17,23,14,7,21,6,0,33,39
2021-06-04,Iran,Italy,3,1,26,29,21,25,-,24,27,25,22,-,13,11,1,1,-,11,2,19,32,1,10,3,14,1,0,21,22,5,2,14,21,7,7,14,3,0,27,30
2021-06-04,Iran,Italy,3,1,26,29,21,25,-,24,27,25,22,-,17,14,1,2,-,14,3,11,28,1,3,1,5,2,3,19,24,7,2,9,18,5,6,12,6,1,22,29
2021-06-04,Italy,Iran,1,3,24,27,25,22,-,26,29,21,25,-,18,15,0,3,-,15,5,16,36,0,2,3,5,3,7,14,24,5,2,15,22,10,8,19,4,0,29,33
2021-06-04,Italy,Iran,1,3,24,27,25,22,-,26,29,21,25,-,18,15,2,1,-,15,7,16,38,2,7,0,9,1,5,22,28,9,2,11,22,14,4,19,7,0,28,35
2021-06-04,Italy,Iran,1,3,24,27,25,22,-,26,29,21,25,-,23,21,0,2,-,21,5,12,38,0,7,3,10,2,3,19,24,13,1,8,22,14,3,18,8,2,28,38
2021-06-04,Italy,Iran,1,3,24,27,25,22,-,26,29,21,25,-,16,13,1,2,-,13,2,10,25,1,2,1,4,2,5,16,23,11,2,8,21,6,9,15,8,1,17,26
2021-06-04,Poland,United States,3,0,25,28,25,-,-,17,26,17,-,-,16,12,2,2,-,12,2,9,23,2,2,4,8,2,3,20,25,4,1,6,11,14,3,19,9,1,14,24
2021-06-04,Poland,United States,3,0,25,28,25,-,-,17,26,17,-,-,16,13,3,0,-,13,8,8,29,3,5,6,14,0,6,21,27,6,1,11,18,14,1,17,14,0,15,29
2021-06-04,Poland,United States,3,0,25,28,25,-,-,17,26,17,-,-,20,15,5,0,-,15,2,5,22,5,2,3,10,0,3,22,25,5,0,9,14,8,4,15,8,0,14,22
2021-06-04,United States,Poland,0,3,17,26,17,-,-,25,28,25,-,-,12,10,1,1,-,10,4,15,29,1,1,4,6,1,6,10,17,9,2,11,22,10,4,15,12,1,16,29
2021-06-04,United States,Poland,0,3,17,26,17,-,-,25,28,25,-,-,17,10,6,1,-,10,6,16,32,6,1,2,9,1,9,17,27,9,0,12,21,13,9,23,11,0,19,30
2021-06-04,United States,Poland,0,3,17,26,17,-,-,25,28,25,-,-,13,12,1,0,-,12,6,9,27,1,2,2,5,0,3,14,17,7,0,15,22,5,9,15,10,0,16,26
2021-06-04,Australia,Russia,0,3,19,24,21,-,-,25,26,25,-,-,9,6,3,0,-,6,2,13,21,3,9,0,12,0,2,17,19,10,1,6,17,3,4,7,4,0,17,21
2021-06-04,Australia,Russia,0,3,19,24,21,-,-,25,26,25,-,-,14,13,0,1,-,13,4,15,32,0,2,2,4,1,4,20,25,7,2,11,20,9,4,13,5,0,24,29
2021-06-04,Australia,Russia,0,3,19,24,21,-,-,25,26,25,-,-,12,10,1,1,-,10,9,12,31,1,3,4,8,1,2,18,21,9,1,10,20,8,1,10,4,1,26,31
2021-06-04,Russia,Australia,3,0,25,26,25,-,-,19,24,21,-,-,21,19,1,1,-,19,4,7,30,1,3,4,8,1,8,16,25,10,0,7,17,5,2,7,7,0,22,29
2021-06-04,Russia,Australia,3,0,25,26,25,-,-,19,24,21,-,-,20,16,2,2,-,16,4,10,30,2,5,2,9,2,5,18,25,12,1,8,21,8,4,12,8,0,22,30
2021-06-04,Russia,Australia,3,0,25,26,25,-,-,19,24,21,-,-,16,11,4,1,-,11,4,15,30,4,4,3,11,1,5,19,25,12,1,6,19,4,4,8,3,0,25,28
2021-06-04,Bulgaria,Canada,0,3,26,23,16,-,-,28,25,25,-,-,17,14,1,2,-,14,5,11,30,1,5,3,9,2,3,21,26,11,1,11,23,11,9,20,6,0,24,30
2021-06-04,Bulgaria,Canada,0,3,26,23,16,-,-,28,25,25,-,-,19,16,2,1,-,16,5,10,31,2,5,2,9,1,5,18,24,3,1,17,21,11,4,16,3,0,28,31
2021-06-04,Bulgaria,Canada,0,3,26,23,16,-,-,28,25,25,-,-,11,9,1,1,-,9,5,8,22,1,3,3,7,1,7,8,16,5,5,12,22,6,1,8,6,0,16,22
2021-06-04,Canada,Bulgaria,3,0,28,25,25,-,-,26,23,16,-,-,23,19,3,1,-,19,4,9,32,3,5,3,11,1,5,22,28,8,2,13,23,8,6,17,7,0,24,31
2021-06-04,Canada,Bulgaria,3,0,28,25,25,-,-,26,23,16,-,-,20,14,5,1,-,14,3,9,26,5,8,1,14,1,3,20,24,4,1,14,19,7,3,12,4,0,22,26
2021-06-04,Canada,Bulgaria,3,0,28,25,25,-,-,26,23,16,-,-,15,8,2,5,-,8,3,8,19,2,6,2,10,5,3,17,25,1,1,7,9,10,1,12,6,0,11,17
2021-06-05,Argentina,Netherlands,3,0,25,25,25,-,-,19,20,23,-,-,20,14,4,2,-,14,2,4,20,4,3,2,9,2,3,20,25,4,3,10,17,4,6,10,6,0,15,21
2021-06-05,Argentina,Netherlands,3,0,25,25,25,-,-,19,20,23,-,-,19,16,3,0,-,16,3,10,29,3,3,2,8,0,3,21,24,8,2,7,17,9,5,14,10,0,17,27
2021-06-05,Argentina,Netherlands,3,0,25,25,25,-,-,19,20,23,-,-,16,13,3,0,-,13,4,15,32,3,6,3,12,0,3,22,25,5,1,12,18,8,4,13,9,0,24,33
2021-06-05,Netherlands,Argentina,0,3,19,20,23,-,-,25,25,25,-,-,15,10,2,3,-,10,6,9,25,2,4,1,7,3,2,14,19,10,2,10,22,3,6,9,4,0,21,25
2021-06-05,Netherlands,Argentina,0,3,19,20,23,-,-,25,25,25,-,-,16,11,3,2,-,11,4,17,32,3,4,2,9,2,4,15,21,9,0,12,21,4,5,9,8,0,23,31
2021-06-05,Netherlands,Argentina,0,3,19,20,23,-,-,25,25,25,-,-,17,14,2,1,-,14,7,17,38,2,1,3,6,1,5,17,23,10,0,12,22,10,5,16,3,0,34,37
2021-06-05,Germany,Slovenia,3,1,19,25,25,25,-,25,20,21,20,-,11,10,1,0,-,10,5,11,26,1,6,6,13,0,5,14,19,3,1,14,18,10,5,15,4,1,22,27
2021-06-05,Germany,Slovenia,3,1,19,25,25,25,-,25,20,21,20,-,15,11,2,2,-,11,0,16,27,2,7,4,13,2,5,18,25,5,3,7,15,17,3,23,7,0,20,27
2021-06-05,Germany,Slovenia,3,1,19,25,25,25,-,25,20,21,20,-,19,14,2,3,-,14,1,11,26,2,4,3,9,3,5,16,24,7,0,11,18,10,6,19,8,1,20,29
2021-06-05,Germany,Slovenia,3,1,19,25,25,25,-,25,20,21,20,-,18,13,3,2,-,13,4,16,33,3,2,6,11,2,7,16,25,4,1,11,16,18,4,22,6,0,26,32
2021-06-05,Slovenia,Germany,1,3,25,20,21,20,-,19,25,25,25,-,18,13,4,1,-,13,2,10,25,4,2,5,11,1,7,17,25,7,0,7,14,12,7,20,8,0,17,25
2021-06-05,Slovenia,Germany,1,3,25,20,21,20,-,19,25,25,25,-,15,12,0,3,-,12,4,16,32,0,7,6,13,3,5,12,20,5,2,13,20,18,0,19,10,1,24,35
2021-06-05,Slovenia,Germany,1,3,25,20,21,20,-,19,25,25,25,-,15,14,1,0,-,14,4,10,28,1,4,8,13,0,4,18,22,7,3,9,19,11,2,14,13,0,13,26
2021-06-05,Slovenia,Germany,1,3,25,20,21,20,-,19,25,25,25,-,9,8,0,1,-,8,6,13,27,0,6,8,14,1,4,15,20,6,2,10,18,14,5,19,8,0,20,28
2021-06-05,France,Japan,3,2,21,25,24,25,15,25,22,26,21,11,16,13,1,2,-,13,5,8,26,1,6,0,7,2,5,15,22,8,1,13,22,5,3,8,8,0,18,26
2021-06-05,France,Japan,3,2,21,25,24,25,15,25,22,26,21,11,19,18,1,0,-,18,3,8,29,1,3,1,5,0,5,19,24,9,1,10,20,4,5,11,6,0,23,29
2021-06-05,France,Japan,3,2,21,25,24,25,15,25,22,26,21,11,17,13,4,0,-,13,3,12,28,4,8,2,14,0,5,20,25,7,3,9,19,7,0,7,6,0,20,26
2021-06-05,France,Japan,3,2,21,25,24,25,15,25,22,26,21,11,16,13,2,1,-,13,3,9,25,2,4,0,6,1,2,21,24,6,0,10,16,4,7,11,3,0,19,22
2021-06-05,France,Japan,3,2,21,25,24,25,15,25,22,26,21,11,12,8,1,3,-,8,2,4,14,1,2,0,3,3,2,9,14,2,0,8,10,4,3,7,2,0,10,12
2021-06-05,Japan,France,2,3,25,22,26,21,11,21,25,24,25,15,18,14,3,1,-,14,3,7,24,3,6,2,11,1,2,21,24,9,2,6,17,6,4,11,11,0,14,25
2021-06-05,Japan,France,2,3,25,22,26,21,11,21,25,24,25,15,15,13,1,1,-,13,4,10,27,1,4,2,7,1,3,19,23,8,0,11,19,4,9,14,6,0,20,26
2021-06-05,Japan,France,2,3,25,22,26,21,11,21,25,24,25,15,20,14,3,3,-,14,4,15,33,3,2,4,9,3,6,16,25,9,0,11,20,6,5,11,6,1,28,35
2021-06-05,Japan,France,2,3,25,22,26,21,11,21,25,24,25,15,15,15,0,0,-,15,5,5,25,0,5,2,7,0,6,16,22,12,1,9,22,1,2,4,4,0,22,26
2021-06-05,Japan,France,2,3,25,22,26,21,11,21,25,24,25,15,7,7,0,0,-,7,2,4,13,0,3,0,3,0,2,10,12,5,3,4,12,3,3,6,2,0,11,13
2021-06-05,Brazil,Serbia,3,1,23,25,25,25,-,25,23,15,22,-,17,14,3,0,-,14,4,10,28,3,6,4,13,0,6,17,23,11,0,11,22,7,1,10,11,1,16,28
2021-06-05,Brazil,Serbia,3,1,23,25,25,25,-,25,23,15,22,-,21,17,4,0,-,17,1,10,28,4,8,4,16,0,5,20,25,10,1,10,21,9,3,13,11,0,17,28
2021-06-05,Brazil,Serbia,3,1,23,25,25,25,-,25,23,15,22,-,18,13,3,2,-,13,2,5,20,3,4,3,10,2,3,19,24,3,2,7,12,10,2,14,8,0,11,19
2021-06-05,Brazil,Serbia,3,1,23,25,25,25,-,25,23,15,22,-,19,14,4,1,-,14,4,3,21,4,8,3,15,1,5,19,25,5,1,13,19,4,2,7,9,0,11,20
2021-06-05,Serbia,Brazil,1,3,25,23,15,22,-,23,25,25,25,-,15,14,1,0,-,14,6,6,26,1,5,6,12,0,3,22,25,7,0,10,17,9,4,16,15,0,11,26
2021-06-05,Serbia,Brazil,1,3,25,23,15,22,-,23,25,25,25,-,18,16,1,1,-,16,6,9,31,1,7,3,11,1,2,20,23,6,0,14,20,13,4,18,9,0,22,31
2021-06-05,Serbia,Brazil,1,3,25,23,15,22,-,23,25,25,25,-,11,8,1,2,-,8,6,13,27,1,4,1,6,2,4,10,16,5,2,14,21,8,4,13,6,0,21,27
2021-06-05,Serbia,Brazil,1,3,25,23,15,22,-,23,25,25,25,-,15,11,3,1,-,11,7,6,24,3,5,2,10,1,3,18,22,10,1,9,20,5,4,9,8,0,17,25
2021-06-05,Poland,Russia,3,1,21,25,25,25,-,25,19,19,14,-,15,10,2,3,-,10,3,6,19,2,8,3,13,3,5,14,22,6,2,10,18,5,1,7,10,0,9,19
2021-06-05,Poland,Russia,3,1,21,25,25,25,-,25,19,19,14,-,16,9,3,4,-,9,2,6,17,3,4,1,8,4,5,15,24,2,2,11,15,4,3,7,7,0,10,17
2021-06-05,Poland,Russia,3,1,21,25,25,25,-,25,19,19,14,-,21,14,5,2,-,14,3,11,28,5,6,7,18,2,2,21,25,2,2,13,17,14,3,18,5,0,22,27
2021-06-05,Poland,Russia,3,1,21,25,25,25,-,25,19,19,14,-,14,9,2,3,-,9,1,9,19,2,5,6,13,3,5,16,24,2,0,6,8,11,1,15,6,0,13,19
2021-06-05,Russia,Poland,1,3,25,19,19,14,-,21,25,25,25,-,18,15,1,2,-,15,2,5,22,1,3,5,9,2,6,16,24,5,3,9,17,10,3,13,7,0,15,22
2021-06-05,Russia,Poland,1,3,25,19,19,14,-,21,25,25,25,-,14,10,2,2,-,10,6,2,18,2,5,2,9,2,5,13,20,5,4,10,19,3,2,7,7,0,11,18
2021-06-05,Russia,Poland,1,3,25,19,19,14,-,21,25,25,25,-,15,12,1,2,-,12,6,12,30,1,7,6,14,2,2,15,19,5,2,16,23,11,3,15,5,1,23,29
2021-06-05,Russia,Poland,1,3,25,19,19,14,-,21,25,25,25,-,8,8,0,0,-,8,5,11,24,0,4,5,9,0,7,8,15,3,3,13,19,10,0,12,5,1,19,25
2021-06-05,Australia,United States,0,3,23,20,17,-,-,25,25,25,-,-,17,16,1,0,-,16,6,17,39,1,4,4,9,0,2,22,24,5,0,15,20,17,4,24,6,1,31,38
2021-06-05,Australia,United States,0,3,23,20,17,-,-,25,25,25,-,-,12,11,1,0,-,11,6,5,22,1,7,1,9,0,4,16,20,5,1,15,21,1,4,8,6,0,17,23
2021-06-05,Australia,United States,0,3,23,20,17,-,-,25,25,25,-,-,10,9,0,1,-,9,6,9,24,0,3,5,8,1,3,14,18,3,5,10,18,10,3,15,2,0,21,23
2021-06-05,United States,Australia,3,0,25,25,25,-,-,23,20,17,-,-,21,16,5,0,-,16,3,14,33,5,5,7,17,0,4,20,24,8,0,14,22,13,5,22,9,0,25,34
2021-06-05,United States,Australia,3,0,25,25,25,-,-,23,20,17,-,-,14,11,2,1,-,11,5,5,21,2,4,2,8,1,4,20,25,4,0,12,16,8,2,11,8,0,14,22
2021-06-05,United States,Australia,3,0,25,25,25,-,-,23,20,17,-,-,18,11,2,5,-,11,0,9,20,2,3,6,11,5,6,13,24,5,1,9,15,8,3,12,6,0,14,20
2021-06-05,Bulgaria,Iran,0,3,20,31,22,-,-,25,33,25,-,-,12,9,1,2,-,9,8,14,31,1,6,3,10,2,4,14,20,2,2,18,22,12,3,15,7,0,23,30
2021-06-05,Bulgaria,Iran,0,3,20,31,22,-,-,25,33,25,-,-,24,21,2,1,-,21,9,16,46,2,9,10,21,1,7,24,32,6,1,22,29,17,2,20,15,0,30,45
2021-06-05,Bulgaria,Iran,0,3,20,31,22,-,-,25,33,25,-,-,13,10,2,1,-,10,1,10,21,2,8,2,12,1,8,13,22,0,2,15,17,6,1,8,4,0,14,18
2021-06-05,Iran,Bulgaria,3,0,25,33,25,-,-,20,31,22,-,-,19,11,6,2,-,11,3,5,19,6,7,7,20,2,3,20,25,1,2,13,16,5,2,10,2,0,17,19
2021-06-05,Iran,Bulgaria,3,0,25,33,25,-,-,20,31,22,-,-,20,16,3,1,-,16,5,17,38,3,10,11,24,1,3,28,32,7,1,17,25,15,5,22,10,0,28,38
2021-06-05,Iran,Bulgaria,3,0,25,33,25,-,-,20,31,22,-,-,16,14,0,2,-,14,3,4,21,0,4,4,8,2,8,15,25,2,1,11,14,9,1,12,3,0,17,20
2021-06-05,Canada,Italy,2,3,19,21,25,28,11,25,25,21,26,15,14,10,3,1,-,10,9,12,31,3,7,7,17,1,2,17,20,7,2,12,21,10,2,13,5,0,24,29
2021-06-05,Canada,Italy,2,3,19,21,25,28,11,25,25,21,26,15,15,10,1,4,-,10,8,13,31,1,8,2,11,4,2,15,21,9,1,12,22,10,5,16,8,0,22,30
2021-06-05,Canada,Italy,2,3,19,21,25,28,11,25,25,21,26,15,19,16,2,1,-,16,7,11,34,2,4,1,7,1,4,20,25,9,0,11,20,15,3,19,6,0,28,34
2021-06-05,Canada,Italy,2,3,19,21,25,28,11,25,25,21,26,15,20,18,0,2,-,18,5,8,31,0,7,4,11,2,6,19,27,6,2,11,19,13,4,18,5,0,25,30
2021-06-05,Canada,Italy,2,3,19,21,25,28,11,25,25,21,26,15,9,7,2,0,-,7,5,7,19,2,2,1,5,0,5,7,12,4,0,9,13,7,0,7,3,0,15,18
2021-06-05,Italy,Canada,3,2,25,25,21,26,15,19,21,25,28,11,18,10,6,2,-,10,3,14,27,6,3,9,18,2,3,19,24,5,1,12,18,11,2,13,4,0,25,29
2021-06-05,Italy,Canada,3,2,25,25,21,26,15,19,21,25,28,11,20,13,6,1,-,13,2,5,20,6,3,5,14,1,3,21,25,7,4,8,19,8,3,13,0,1,20,21
2021-06-05,Italy,Canada,3,2,25,25,21,26,15,19,21,25,28,11,12,10,2,0,-,10,7,9,26,2,4,4,10,0,1,20,21,6,1,14,21,6,6,15,4,0,20,24
2021-06-05,Italy,Canada,3,2,25,25,21,26,15,19,21,25,28,11,16,12,2,2,-,12,0,11,23,2,6,4,12,2,8,17,27,3,2,16,21,6,8,16,3,0,21,24
2021-06-05,Italy,Canada,3,2,25,25,21,26,15,19,21,25,28,11,7,5,2,0,-,5,3,5,13,2,5,2,9,0,1,13,14,2,0,5,7,5,2,9,0,0,12,12
2021-06-09,Germany,Serbia,1,3,25,22,18,15,-,19,25,25,25,-,18,14,1,3,-,14,4,10,28,1,2,7,10,3,5,16,24,3,2,11,16,14,2,18,8,0,21,29
2021-06-09,Germany,Serbia,1,3,25,22,18,15,-,19,25,25,25,-,15,10,3,2,-,10,6,10,26,3,2,7,12,2,6,15,23,4,1,13,18,11,2,18,10,0,17,27
2021-06-09,Germany,Serbia,1,3,25,22,18,15,-,19,25,25,25,-,11,10,1,0,-,10,3,4,17,1,5,3,9,0,6,12,18,3,2,13,18,2,5,8,7,1,10,18
2021-06-09,Germany,Serbia,1,3,25,22,18,15,-,19,25,25,25,-,8,7,0,1,-,7,6,9,22,0,7,4,11,1,4,11,16,7,2,9,18,8,2,12,8,1,15,24
2021-06-09,Serbia,Germany,3,1,19,25,25,25,-,25,22,18,15,-,10,8,0,2,-,8,3,13,24,0,7,8,15,2,4,14,20,4,3,12,19,8,3,14,9,1,12,22
2021-06-09,Serbia,Germany,3,1,19,25,25,25,-,25,22,18,15,-,17,12,4,1,-,12,4,13,29,4,4,8,16,1,6,17,24,1,2,14,17,13,3,18,6,0,23,29
2021-06-09,Serbia,Germany,3,1,19,25,25,25,-,25,22,18,15,-,17,13,2,2,-,13,1,4,18,2,3,3,8,2,7,16,25,4,0,8,12,6,2,8,9,0,9,18
2021-06-09,Serbia,Germany,3,1,19,25,25,25,-,25,22,18,15,-,17,12,3,2,-,12,1,7,20,3,2,4,9,2,6,16,24,3,1,8,12,9,3,15,6,0,13,19
2021-06-09,Australia,Japan,1,3,18,25,26,24,-,25,21,28,26,-,13,12,1,0,-,12,3,9,24,1,2,3,6,0,3,16,19,8,2,10,20,7,10,17,8,0,15,23
2021-06-09,Australia,Japan,1,3,18,25,26,24,-,25,21,28,26,-,21,19,2,0,-,19,4,12,35,2,5,7,14,0,4,20,24,5,1,16,22,12,5,18,4,0,31,35
2021-06-09,Australia,Japan,1,3,18,25,26,24,-,25,21,28,26,-,18,13,4,1,-,13,5,11,29,4,8,7,19,1,4,22,27,4,1,17,22,11,5,16,5,1,24,30
2021-06-09,Australia,Japan,1,3,18,25,26,24,-,25,21,28,26,-,16,15,1,0,-,15,3,20,38,1,3,7,11,0,4,20,24,5,1,16,22,15,4,24,9,0,27,36
2021-06-09,Japan,Australia,3,1,25,21,28,26,-,18,25,26,24,-,20,17,1,2,-,17,2,8,27,1,2,3,6,2,4,18,24,8,0,8,16,11,2,14,10,0,17,27
2021-06-09,Japan,Australia,3,1,25,21,28,26,-,18,25,26,24,-,15,12,2,1,-,12,6,11,29,2,9,6,17,1,0,21,22,8,0,12,20,12,4,17,12,0,18,30
2021-06-09,Japan,Australia,3,1,25,21,28,26,-,18,25,26,24,-,22,17,4,1,-,17,7,10,34,4,6,3,13,1,5,21,27,12,1,10,23,13,3,18,10,0,23,33
2021-06-09,Japan,Australia,3,1,25,21,28,26,-,18,25,26,24,-,20,18,1,1,-,18,4,14,36,1,5,10,16,1,4,21,26,10,0,10,20,17,6,26,11,0,24,35
2021-06-09,France,Russia,3,1,22,25,30,25,-,25,18,28,19,-,14,13,0,1,-,13,3,15,31,0,5,6,11,1,6,16,23,8,1,10,19,12,3,18,13,0,17,30
