Season,Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total,Match_ID,Won,Attack_Efficiency,SERVE_Efficiency,RECEPTION_Efficiency,BLOCK_Efficiency,DIG_Efficiency,Serve_Efficiency,Reception_Efficiency
2021,2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,0,22,25,36,25,0,66,53,9,4,-,53,21,37,111,9,14,7,30,4,17,75,96,26,3,59,88,27,27,59,43,1,66,110,2021-05-28_Serbia_Slovenia,0,0.8648648648648649,-0.17333333333333334,0.3898305084745763,-0.7142857142857143,0.0,-0.17333333333333334,0.3898305084745763
2021,2021-05-29,Argentina,Canada,0,3,17,21,17,0,0,25,25,25,0,0,34,27,5,2,-,27,19,25,71,5,14,3,22,2,16,38,56,17,4,39,60,19,12,32,18,1,51,70,2021-05-29_Argentina_Canada,0,0.32,-0.3684210526315789,0.3333333333333333,-3.0,0.21875,-0.3684210526315789,0.3333333333333333
2021,2021-05-29,Canada,Argentina,3,0,25,25,25,0,0,17,21,17,0,0,44,33,7,4,-,33,9,18,60,7,13,7,27,4,13,56,73,17,2,21,40,22,10,32,17,1,38,56,2021-05-29_Argentina_Canada,1,1.3333333333333333,-0.16071428571428573,0.7142857142857143,-0.8571428571428571,0.375,-0.16071428571428573,0.7142857142857143
2021,2021-05-29,Australia,Bulgaria,0,3,21,20,20,0,0,25,25,25,0,0,30,26,3,1,-,26,15,28,69,3,12,9,24,1,11,50,62,10,13,32,55,25,12,46,10,1,56,67,2021-05-29_Australia_Bulgaria,0,0.39285714285714285,-0.2,-0.09375,-1.0,0.2826086956521739,-0.2,-0.09375
2021,2021-05-29,Bulgaria,Australia,3,0,25,25,25,0,0,21,20,20,0,0,52,34,5,13,-,34,14,26,74,5,18,13,36,13,19,42,74,19,1,31,51,23,3,32,22,1,50,73,2021-05-29_Australia_Bulgaria,1,0.7692307692307693,-0.14285714285714285,0.5806451612903226,-1.0,0.625,-0.14285714285714285,0.5806451612903226
2021,2021-05-29,Brazil,United States,3,0,25,25,25,0,0,22,23,19,0,0,53,40,7,6,-,40,12,27,79,7,2,2,11,6,11,56,73,16,4,31,51,5,0,6,7,0,67,74,2021-05-29_Brazil_United States,1,1.037037037037037,-0.08928571428571429,0.3870967741935484,2.5,0.8333333333333334,-0.08928571428571429,0.3870967741935484
2021,2021-05-29,United States,Brazil,0,3,22,23,19,0,0,25,25,25,0,0,49,36,9,4,-,36,14,37,87,9,1,1,11,4,15,47,66,26,6,30,62,3,0,3,19,0,63,82,2021-05-29_Brazil_United States,0,0.5945945945945946,-0.23404255319148937,0.6666666666666666,8.0,1.0,-0.23404255319148937,0.6666666666666666
2021,2021-05-29,France,Germany,3,2,22,25,22,25,17,25,22,25,16,15,79,63,11,5,-,63,15,40,118,11,18,13,42,5,20,86,111,38,5,38,81,37,17,58,40,0,3,43,2021-05-29_France_Germany,1,1.2,-0.1744186046511628,0.868421052631579,-0.5384615384615384,0.3448275862068966,-0.1744186046511628,0.868421052631579
2021,2021-05-29,Germany,France,2,3,25,22,25,16,15,22,25,22,25,17,79,62,12,5,-,62,17,47,126,12,22,8,42,5,22,76,103,36,5,50,91,35,10,49,45,2,0,47,2021-05-29_France_Germany,0,0.9574468085106383,-0.2236842105263158,0.62,-1.25,0.5102040816326531,-0.2236842105263158,0.62
2021,2021-05-29,Iran,Russia,1,3,17,25,20,17,0,25,20,25,25,0,55,49,3,3,-,49,15,40,104,3,24,19,46,3,18,59,80,27,4,44,75,39,7,49,29,1,0,30,2021-05-29_Iran_Russia,0,0.85,-0.2542372881355932,0.5227272727272727,-1.105263157894737,0.6530612244897959,-0.2542372881355932,0.5227272727272727
2021,2021-05-29,Russia,Iran,3,1,25,20,25,25,0,17,25,20,17,0,71,57,10,4,-,57,8,33,98,10,28,20,58,4,18,71,93,21,3,38,62,40,6,55,37,0,2,39,2021-05-29_Iran_Russia,1,1.4848484848484849,-0.19718309859154928,0.47368421052631576,-0.9,0.6181818181818182,-0.19718309859154928,0.47368421052631576
2021,2021-05-29,Italy,Slovenia,0,3,23,19,15,0,0,25,25,25,0,0,40,32,3,5,-,32,13,36,81,3,1,1,5,5,13,40,58,21,8,31,60,8,0,9,24,1,56,81,2021-05-29_Italy_Slovenia,0,0.5277777777777778,-0.2,0.41935483870967744,2.0,0.8888888888888888,-0.2,0.41935483870967744
2021,2021-05-29,Slovenia,Italy,3,0,25,25,25,0,0,23,19,15,0,0,52,40,4,8,-,40,5,37,82,4,1,0,5,8,14,52,74,19,5,21,45,5,0,5,19,0,55,74,2021-05-29_Italy_Slovenia,1,0.9459459459459459,-0.11538461538461539,0.6666666666666666,inf,1.0,-0.11538461538461539,0.6666666666666666
2021,2021-05-29,Japan,Netherlands,3,2,22,23,25,25,15,25,25,22,17,8,74,66,6,2,-,66,11,33,110,6,11,7,24,2,22,85,109,38,4,35,77,19,8,31,29,0,79,108,2021-05-29_Japan_Netherlands,1,1.6666666666666667,-0.23529411764705882,0.9714285714285714,-0.7142857142857143,0.3548387096774194,-0.23529411764705882,0.9714285714285714
2021,2021-05-29,Netherlands,Japan,2,3,25,25,22,17,8,22,23,25,25,15,70,60,6,4,-,60,18,38,116,6,15,5,26,4,21,73,98,33,2,52,87,24,13,38,30,3,81,114,2021-05-29_Japan_Netherlands,0,1.105263157894737,-0.2328767123287671,0.5961538461538461,-1.8,0.2894736842105263,-0.2328767123287671,0.5961538461538461
